date,cost
2018-01-01,11.87
2018-01-02,16.5
2018-01-03,15.02
2018-01-04,9.41
2018-01-05,28.01
2018-01-06,6.04
2018-01-07,25.02
2018-01-08,11.65
2018-01-09,15.5
2018-01-10,15.09
2018-01-11,9.99
2018-01-12,27.01
2018-01-13,6.11
2018-01-14,25.67
2018-01-15,42.5
2018-01-16,16.5
2018-01-17,15.16
2018-01-18,9.35
2018-01-19,28.24
2018-01-20,6.18
2018-01-21,30.34
2018-01-22,12.61
2018-01-23,15.5
2018-01-24,15.23
2018-01-25,9.47
2018-01-26,28.78
2018-01-27,6.25
2018-01-28,35.13
2018-01-29,12.5
2018-01-30,15.5
2018-01-31,15.3
2018-02-01,9.01
2018-02-02,25.36
2018-02-03,6.32
2018-02-04,29.05
2018-02-05,13.04
2018-02-06,14.5
2018-02-07,15.37
2018-02-08,9.93
2018-02-09,25.98
2018-02-10,6.39
2018-02-11,25.24
2018-02-12,13.48
2018-02-13,15.5
2018-02-14,15.44
2018-02-15,9.83
2018-02-16,26.59
2018-02-17,6.46
2018-02-18,30.11
2018-02-19,14.68
2018-02-20,14.5
2018-02-21,45.13
2018-02-22,9.05
2018-02-23,27.94
2018-02-24,6.53
2018-02-25,27.72
2018-02-26,12.11
2018-02-27,16.5
2018-02-28,15.58
2018-03-01,9.79
2018-03-02,28.93
2018-03-03,6.6
2018-03-04,30.63
2018-03-05,16.31
2018-03-06,16.5
2018-03-07,15.65
2018-03-08,9.73
2018-03-09,25.03
2018-03-10,6.67
2018-03-11,29.11
2018-03-12,14.1
2018-03-13,15.5
2018-03-14,15.72
2018-03-15,9.68
2018-03-16,28.64
2018-03-17,6.74
2018-03-18,27.12
2018-03-19,13.08
2018-03-20,14.5
2018-03-21,63.62
2018-03-22,9.58
2018-03-23,27.9
2018-03-24,6.81
2018-03-25,26.82
2018-03-26,12.32
2018-03-27,14.5
2018-03-28,15.86
2018-03-29,9.85
2018-03-30,27.92
2018-03-31,6.88
2018-04-01,28.93
2018-04-02,13.43
2018-04-03,13.5
2018-04-04,15.93
2018-04-05,9.65
2018-04-06,27.63
2018-04-07,6.95
2018-04-08,27.14
2018-04-09,13.54
2018-04-10,15.5
2018-04-11,16.0
2018-04-12,9.18
2018-04-13,27.07
2018-04-14,7.02
2018-04-15,25.66
2018-04-16,15.33
2018-04-17,15.5
2018-04-18,16.07
2018-04-19,9.33
2018-04-20,29.5
2018-04-21,7.09
2018-04-22,28.22
2018-04-23,15.38
2018-04-24,16.5
2018-04-25,16.14
2018-04-26,9.95
2018-04-27,27.76
2018-04-28,7.16
2018-04-29,28.37
2018-04-30,12.38
2018-05-01,15.5
2018-05-02,16.21
2018-05-03,9.14
2018-05-04,29.51
2018-05-05,7.23
2018-05-06,28.71
2018-05-07,13.58
2018-05-08,15.5
2018-05-09,16.28
2018-05-10,9.5
2018-05-11,28.23
2018-05-12,7.3
2018-05-13,46.1
2018-05-14,14.52
2018-05-15,13.5
2018-05-16,16.35
2018-05-17,9.35
2018-05-18,27.46
2018-05-19,7.37
2018-05-20,29.65
2018-05-21,11.85
2018-05-22,16.5
2018-05-23,16.42
2018-05-24,9.58
